,trade_id,date,asset,trip,action,type,price,status
326,92,2020-05-15,IVV,EXIT,SELL,LMT,285.89,SUBMITTED
327,92,2020-05-15,IVV,EXIT,SELL,LMT,285.89,FILLED
328,93,2020-05-18,IVV,ENTRY,BUY,LMT,284.29,SUBMITTED
329,93,2020-05-20,IVV,ENTRY,BUY,LMT,284.29,CANCELLED
330,94,2020-05-19,IVV,ENTRY,BUY,LMT,293.08,SUBMITTED
331,94,2020-05-19,IVV,ENTRY,BUY,LMT,293.08,FILLED
332,94,2020-05-19,IVV,EXIT,SELL,LMT,296.01,SUBMITTED
333,94,2020-05-20,IVV,EXIT,SELL,LMT,296.01,FILLED
334,95,2020-05-20,IVV,ENTRY,BUY,LMT,290.06,SUBMITTED
335,95,2020-05-22,IVV,ENTRY,BUY,LMT,290.06,CANCELLED
336,96,2020-05-21,IVV,ENTRY,BUY,LMT,295.01,SUBMITTED
337,96,2020-05-21,IVV,ENTRY,BUY,LMT,295.01,FILLED
338,96,2020-05-21,IVV,EXIT,SELL,LMT,297.96,SUBMITTED
339,96,2020-05-26,IVV,EXIT,SELL,LMT,297.96,FILLED
340,97,2020-05-22,IVV,ENTRY,BUY,LMT,292.85,SUBMITTED
341,97,2020-05-27,IVV,ENTRY,BUY,LMT,292.85,CANCELLED
342,98,2020-05-26,IVV,ENTRY,BUY,LMT,293.45,SUBMITTED
343,98,2020-05-28,IVV,ENTRY,BUY,LMT,293.45,CANCELLED
344,99,2020-05-27,IVV,ENTRY,BUY,LMT,297.17,SUBMITTED
345,99,2020-05-29,IVV,ENTRY,BUY,LMT,297.17,CANCELLED
346,100,2020-05-28,IVV,ENTRY,BUY,LMT,301.5,SUBMITTED
347,100,2020-05-29,IVV,ENTRY,BUY,LMT,301.5,FILLED
348,100,2020-05-29,IVV,EXIT,SELL,LMT,304.52,SUBMITTED
349,100,2020-05-29,IVV,EXIT,SELL,LMT,304.52,FILLED
350,101,2020-05-29,IVV,ENTRY,BUY,LMT,300.91,SUBMITTED
351,101,2020-05-29,IVV,ENTRY,BUY,LMT,300.91,FILLED
